gene_id	symbol	name	cytoband	type	num_cohort_ssm_affected_cases	num_cohort_ssm_cases	cohort_ssm_affected_cases_percentage	num_gdc_ssm_affected_cases	num_gdc_ssm_cases	gdc_ssm_affected_cases_percentage	num_cohort_cnv_cases	num_cohort_cnv_gain_cases	cohort_cnv_gain_cases_percentage	num_cohort_cnv_loss_cases	cohort_cnv_loss_cases_percentage	num_mutations	annotations
ENSG00000141510	TP53	tumor protein p53	17p13.1	protein_coding	305	609	50.08	4928	16405	30.04	666	38	5.71	290	43.54	226	Cancer Gene Census
ENSG00000181143	MUC16	mucin 16, cell surface associated	19p13.2	protein_coding	271	609	44.50	2887	16405	17.60	666	37	5.56	271	40.69	543	Cancer Gene Census
ENSG00000164796	CSMD3	CUB and Sushi multiple domains 3	8q23.3	protein_coding	252	609	41.38	1984	16405	12.09	666	341	51.20	27	4.05	450	Cancer Gene Census
ENSG00000168702	LRP1B	LDL receptor related protein 1B	2q22.1, 2q22.2	protein_coding	224	609	36.78	1780	16405	10.85	666	175	26.28	35	5.26	394	Cancer Gene Census
ENSG00000133703	KRAS	KRAS proto-oncogene, GTPase	12p12.1	protein_coding	169	609	27.75	1762	16405	10.74	666	219	32.88	80	12.01	17	Cancer Gene Census
ENSG00000165323	FAT3	FAT atypical cadherin 3	11q14.3	protein_coding	155	609	25.45	1432	16405	8.73	666	184	27.63	84	12.61	225	Cancer Gene Census
ENSG00000196159	FAT4	FAT atypical cadherin 4	4q28.1	protein_coding	119	609	19.54	1440	16405	8.78	666	68	10.21	147	22.07	140	Cancer Gene Census
ENSG00000153707	PTPRD	protein tyrosine phosphatase receptor type D	9p24.1, 9p23	protein_coding	112	609	18.39	766	16405	4.67	666	74	11.11	280	42.04	149	Cancer Gene Census
ENSG00000040731	CDH10	cadherin 10	5p14.2, 5p14.1	protein_coding	107	609	17.57	736	16405	4.49	666	415	62.31	16	2.40	136	Cancer Gene Census
ENSG00000079999	KEAP1	kelch like ECH associated protein 1	19p13.2	protein_coding	107	609	17.57	374	16405	2.28	666	39	5.86	262	39.34	101	Cancer Gene Census
ENSG00000147724	FAM135B	family with sequence similarity 135 member B	8q24.23	protein_coding	106	609	17.41	947	16405	5.77	666	328	49.25	33	4.95	129	Cancer Gene Census
ENSG00000174469	CNTNAP2	contactin associated protein 2	7q35, 7q36.1	protein_coding	91	609	14.94	812	16405	4.95	666	241	36.19	64	9.61	116	Cancer Gene Census
ENSG00000118046	STK11	serine/threonine kinase 11	19p13.3	protein_coding	83	609	13.63	236	16405	1.44	666	48	7.21	297	44.59	70	Cancer Gene Census
ENSG00000152217	SETBP1	SET binding protein 1	18q12.3	protein_coding	82	609	13.46	532	16405	3.24	666	81	12.16	233	34.98	98	Cancer Gene Census
ENSG00000169862	CTNND2	catenin delta 2	5p15.2	protein_coding	82	609	13.46	677	16405	4.13	666	406	60.96	19	2.85	99	Cancer Gene Census
ENSG00000146648	EGFR	epidermal growth factor receptor	7p11.2	protein_coding	81	609	13.30	645	16405	3.93	666	327	49.10	36	5.41	47	Cancer Gene Census
ENSG00000066032	CTNNA2	catenin alpha 2	2p12	protein_coding	78	609	12.81	665	16405	4.05	666	201	30.18	33	4.95	98	Cancer Gene Census
